event_id,title,start_year,end_year,period_label,event_type,gazetteer_place,spatial_layer,visual_action,source_text,source_ref,confidence,duration_s,narration
bdq_001,王仲舒捐带建桥,816,819,唐元和十一年至十四年,culture,宝带桥,宝带桥社区志地名_OSM匹配与待校对,highlight,"元和十一年至十四年（816—819），苏州刺史王仲舒变卖束身宝带，募集资金，延工规划构筑长桥。",概述/大事记,high,2.0,一座桥，连起运河与地方记忆。
bdq_002,林则徐主持修桥,1831,,道光十一年,culture,宝带桥,宝带桥社区志地名_OSM匹配与待校对,highlight,"道光十一年（1831）林则徐主持修缮宝带桥。",大事记,high,1.8,古桥几经修缮，延续为运河地标。
bdq_003,宝带桥重建,1872,,同治十一年,culture,宝带桥,宝带桥社区志地名_OSM匹配与待校对,reveal,"同治十一年（1872）水利工程局重建宝带桥，并在南北两堍各置石狮一对。",大事记,high,1.8,重建后的宝带桥，重新嵌入水运交通。
bdq_004,境域解放,1949,,1949年,governance,宝带桥社区,宝带桥社区志地名_OSM匹配与待校对,reveal,"1949年4月27日，境域解放。",大事记,high,1.6,地方建置进入新的历史阶段。
bdq_005,全境通电与文保,1956,,1956年,service,宝带桥,宝带桥社区志地名_OSM匹配与待校对,highlight,"1956年4月，长桥乡在金星25高级农业生产合作社开展农村用电试点，年内，境域全境通电；10月8日，宝带桥被列为江苏省文物保护单位。",大事记,high,2.0,现代设施与文物保护同步进入社区生活。
bdq_006,高产水稻示范,1962,,1962年,economy,宝带桥社区,宝带桥社区志地名_OSM匹配与待校对,reveal,"1962年，江苏农科院副院长陈永康率科技人员至长桥大队做水稻高产示范试验，并多次至境内指导推广。",概述/大事记,high,1.8,水网农田成为江南高产稳产地区。
bdq_007,划归经济开发区,1992,,1992年8月,economy,宝带桥社区,宝带桥社区志地名_OSM匹配与待校对,grow,"1992年8月，境域划归吴县经济技术开发区；境域制订建设规划蓝图，全面大开发、大建设。",概述/建置沿革,high,2.0,从乡村空间转向开发建设空间。
bdq_008,宝带桥社区居委会成立,2004,,2004年6月,governance,宝带桥社区,宝带桥社区志地名_OSM匹配与待校对,highlight,"2004年6月20日，吴中区城南街道办事处成立，宝带桥居委会划归城南街道，更名为宝带桥社区居委会。",建置沿革,high,1.8,社区治理单元正式成形。
bdq_009,轨交宝带桥南站联动,2011,,2011年,transport,宝带桥南,宝带桥社区志地名_OSM匹配与待校对,path,"2011年，宝带桥社区配合轨交二号线的开设和宝带桥南站的设定，动员石湖东路两侧企业和居民迁移。",大事记,medium,1.8,轨道交通改变社区出行与空间组织。
bdq_010,大运河申遗成功,2014,,2014年6月,culture,宝带桥,宝带桥社区志地名_OSM匹配与待校对,highlight,"2014年6月，第38届世界遗产委员会会议同意将中国大运河列入《世界遗产名录》，宝带桥为其中重要遗产之一。",大事记,high,2.0,宝带桥成为世界文化遗产的重要节点。
bdq_011,澹台湖景区一期竣工,2016,,2016年9月2日,construction,澹台湖,宝带桥社区志地名_OSM匹配与待校对,reveal,"2016年9月2日，宝带桥·澹台湖景区第一期项目竣工。",大事记,high,1.8,运河、古桥与湖景空间形成新的公共景观。
bdq_012,吴中博物馆开馆,2020,,2020年6月28日,culture,吴文化博物馆,宝带桥社区志地名_OSM匹配与待校对,grow,"2020年6月28日，全国第一座全面展示吴地文化的吴中博物馆建成开馆。",大事记,high,2.0,社区南堍新增吴地文化展示核心。
bdq_013,核心展示园更名,2020,,2020年12月,construction,宝带桥·澹台湖核心展示园,宝带桥社区志地名_OSM匹配与待校对,reveal,"2020年12月，宝带桥·澹台湖景区更名为大运河国家文化公园——宝带桥·澹台湖核心展示园。",大事记,high,1.6,社区空间进入大运河国家文化公园叙事。
