control_id,enabled,map_id,name,matched_standard_name,match_type,match_score,role,pixel_x,pixel_y,map_x,map_y,source_ocr_id,source_text,candidate_texts,ocr_confidence,quality,osm_reference,weight,notes
cp_001,false,nansong_linan_map,太学,太学,normalized_exact,1.000,ocr_文字,746.000,560.500,13375830.000,3534970.000,nansong_linan_map_rapidocr_0072,太学,太学,0.629057,0.679057,linan_places_master,1.0,Review on source image before setting enabled=true.
cp_002,false,nansong_linan_map,大常寺,太常寺,normalized_exact,1.000,ocr_寺观,783.500,953.000,13376953.900,3538130.000,nansong_linan_map_rapidocr_0023,太常寺,大常寺 | 太常寺 | 大常卡,0.675656,0.815656,linan_places_master,1.0,Review on source image before setting enabled=true.
cp_003,false,nansong_linan_map,孤山,孤山,normalized_exact,1.000,ocr_山体,337.170,728.835,13374740.000,3535870.000,nansong_linan_map_rapidocr_0050,孤山,孤山 | 山孤,0.609522,0.739522,linan_places_master,1.0,Review on source image before setting enabled=true.
cp_004,false,nansong_linan_map,清河坊,清河坊,normalized_exact,1.000,ocr_街巷道路,871.000,1022.000,13376040.000,3533470.000,nansong_linan_map_rapidocr_0010,清河坊,清河坊 | 坊河清,0.722404,0.862404,linan_places_master,1.0,Review on source image before setting enabled=true.
cp_005,false,nansong_linan_map,清波門,清波门,normalized_exact,1.000,ocr_城防官署,640.335,1074.170,13375550.100,3534472.500,nansong_linan_map_rapidocr_0064,清波門,清波門 | 門波清 | 波清,0.553859,0.693859,linan_places_master,1.0,Review on source image before setting enabled=true.
cp_006,false,nansong_linan_map,石佛寺,石佛寺,normalized_exact,1.000,ocr_寺观,656.500,1545.000,13374870.000,3537270.000,nansong_linan_map_rapidocr_0015,石佛寺,石佛寺 | 石佛,0.708143,0.848143,linan_places_master,1.0,Review on source image before setting enabled=true.
cp_007,false,nansong_linan_map,钱塘門,钱塘门,normalized_exact,1.000,ocr_水系,635.500,607.500,13375514.800,3537034.400,nansong_linan_map_rapidocr_0066,钱塘門,钱塘門 | 門塘钱,0.551017,0.691017,linan_places_master,1.0,Review on source image before setting enabled=true.
cp_008,false,nansong_linan_map,水安保,保安门,special_historical_gate,0.940,ocr_文字,999.500,1202.000,13377399.700,3533649.500,nansong_linan_map_rapidocr_0027,水安保,水安保 | 保安水门 | 朗水安保 | 明水安保,0.741778,0.801778,linan_places_master,1.0,Review on source image before setting enabled=true.
cp_009,false,nansong_linan_map,净慈毂恩寺,净慈寺,special寺名夹字,0.900,ocr_寺观,432.500,1272.500,13375020.000,3532970.000,nansong_linan_map_rapidocr_0013,净慈毂恩寺,净慈毂恩寺 | 寺恩毂慈净 | 净慈恩寺 | 慈報恩寺 | 净慈報恩寺 | 慈教恩寺,0.68958,0.84958,linan_places_master,0.7,Needs manual verification; OCR/name match is not strong enough for automatic fitting.
cp_010,false,nansong_linan_map,址塔圣雷,雷峰塔,special_partial_tower,0.820,ocr_文字,427.165,1180.665,13375060.000,3533570.000,nansong_linan_map_rapidocr_0053,址塔圣雷,址塔圣雷 | 址塔室雷 | 址塔奎雷 | 址塔室雷真 | 址塔拳雷东,0.657914,0.727914,linan_places_master,0.7,Needs manual verification; OCR/name match is not strong enough for automatic fitting.
cp_011,false,nansong_linan_map,塔保,保俶塔,special_partial_tower,0.780,ocr_文字,489.665,504.165,13374880.000,3537130.000,nansong_linan_map_rapidocr_0055,塔保,塔保 | 塔做保,0.665059,0.715059,linan_places_master,0.7,Needs manual verification; OCR/name match is not strong enough for automatic fitting.
cp_012,false,nansong_linan_map,west_lake_north_east_shore,,manual_structural_anchor,,shoreline,,,,,,,,,,,1.0,"Optional manual control point. Fill both image pixel and OSM coordinates, then set enabled=true."
cp_013,false,nansong_linan_map,west_lake_south_east_shore,,manual_structural_anchor,,shoreline,,,,,,,,,,,1.0,"Optional manual control point. Fill both image pixel and OSM coordinates, then set enabled=true."
cp_014,false,nansong_linan_map,qiantang_river_north_bank,,manual_structural_anchor,,shoreline,,,,,,,,,,,1.0,"Optional manual control point. Fill both image pixel and OSM coordinates, then set enabled=true."
cp_015,false,nansong_linan_map,north_wall_west_corner,,manual_structural_anchor,,wall_corner,,,,,,,,,,,1.0,"Optional manual control point. Fill both image pixel and OSM coordinates, then set enabled=true."
cp_016,false,nansong_linan_map,north_wall_east_corner,,manual_structural_anchor,,wall_corner,,,,,,,,,,,1.0,"Optional manual control point. Fill both image pixel and OSM coordinates, then set enabled=true."
cp_017,false,nansong_linan_map,east_wall_midpoint,,manual_structural_anchor,,wall,,,,,,,,,,,1.0,"Optional manual control point. Fill both image pixel and OSM coordinates, then set enabled=true."
cp_018,false,nansong_linan_map,imperial_city_center,,manual_structural_anchor,,palace,,,,,,,,,,,1.0,"Optional manual control point. Fill both image pixel and OSM coordinates, then set enabled=true."
